metric,mean,std,pretty
mean_reward,1.9589549036666665,0.773318846421715,1.959 ± 0.773
mean_Te2e,0.26283442574336674,0.19616721612349516,0.263 ± 0.196
mean_Tloc,4.239999966666667e-05,8.665129757519389e-05,0.000 ± 0.000
mean_Ttx,0.2617755350923333,0.1959055566384215,0.262 ± 0.196
mean_TQ,0.000959582308,0.0005698645937135894,0.001 ± 0.001
mean_Tcpu,5.690666486666666e-05,3.088905340139928e-05,0.000 ± 0.000
mean_SINR_dB,10.534915400000001,6.2166895928224815,10.535 ± 6.217
