round,mean_reward,std_reward,n_runs,ci95_low,ci95_hi
1,1.940421223640442,0.05946511885992332,4,1.882145407157717,1.9986970401231667
2,1.9429196864366531,0.05436813585545889,4,1.8896389132983034,1.996200459575003
3,1.9403733213742576,0.05483265668011906,4,1.886637317827741,1.9941093249207742
4,1.9425048753619194,0.053040861116620555,4,1.8905248314676313,1.9944849192562075
5,1.9426905989646912,0.05089451908408811,4,1.8928139702622848,1.9925672276670976
6,1.941003367304802,0.04948960672401306,4,1.8925035527152692,1.9895031818943347
7,1.9409587596143996,0.04912127110237755,4,1.8928199139340696,1.9890976052947296
8,1.9406946785748005,0.04896530783169494,4,1.8927086768997394,1.9886806802498616
9,1.9383656647470262,0.0458763136741601,4,1.8934068773463493,1.9833244521477031
10,1.9384759300284917,0.045173436156280444,4,1.894205962595337,1.9827458974616465
11,1.9350179466936324,0.0454074155754905,4,1.8905186794296516,1.9795172139576132
12,1.9346613850858476,0.04338506160327363,4,1.8921440247146395,1.9771787454570557
13,1.933559778663847,0.043402801537422306,4,1.8910250331571732,1.9760945241705208
14,1.9334820674525366,0.0443791671446108,4,1.8899904836508181,1.976973651254255
15,1.9348553650909,0.042869727573060325,4,1.8928430320693008,1.976867698112499
16,1.934378468328052,0.04285145348942393,4,1.8923840439084165,1.9763728927476876
17,1.9341610835658178,0.042783282706071374,4,1.8922334665138678,1.9760887006177679
18,1.936400589015749,0.04460030235402371,4,1.8926922927088057,1.9801088853226922
19,1.9350881245401172,0.043516526996263086,4,1.8924419280837794,1.977734320996455
20,1.9357868565453424,0.04265474830220636,4,1.8939852032091802,1.9775885098815047
21,1.9373943871921964,0.04218275501406181,4,1.8960552872784158,1.978733487105977
22,1.9387017985184987,0.04089729543659329,4,1.8986224489906371,1.9787811480463602
23,1.939946909745534,0.0400305339491986,4,1.9007169864753193,1.9791768330157486
24,1.938163075182173,0.04068495345923774,4,1.89829182079212,1.978034329572226
25,1.9383207129107582,0.03916158797056427,4,1.8999423566996052,1.9766990691219113
26,1.936476793554094,0.03834385102948879,4,1.8988998195451952,1.974053767562993
27,1.9361102481683097,0.038647152305419756,4,1.8982360389089983,1.973984457427621
28,1.938806268903944,0.03817780994263748,4,1.9013920151601593,1.9762205226477287
29,1.9386241303549872,0.03698764557667141,4,1.9023762376898492,1.974872023020125
30,1.9388031330373552,0.03727113802873836,4,1.9022774177691917,1.9753288483055187
31,1.9372730917400784,0.03831998349374578,4,1.8997195079162075,1.9748266755639494
32,1.9366129570537143,0.039025055653289877,4,1.8983684025134901,1.9748575115939384
33,1.937183678150177,0.0378054552342377,4,1.900134332020624,1.97423302427973
34,1.9382387234105003,0.03906291021718669,4,1.8999570713976572,1.9765203754233434
35,1.9405207004812028,0.03938502782209567,4,1.9019233732155492,1.9791180277468565
36,1.9389696783489652,0.0411756362929516,4,1.8986175547818727,1.9793218019160577
37,1.937320805258221,0.042837419710561826,4,1.8953401339418703,1.9793014765745716
38,1.9409100711345673,0.04388460620027173,4,1.897903157058301,1.9839169852108336
39,1.9394211769104004,0.04463076282871728,4,1.8956830293382574,1.9831593244825434
40,1.9379375014040205,0.04208996821653058,4,1.8966893325518206,1.9791856702562205
41,1.9352905584706201,0.04083536613371034,4,1.895271899659584,1.9753092172816562
42,1.9341227412223816,0.042217497210363,4,1.8927495939562258,1.9754958884885374
43,1.9341903428236642,0.04313336560523826,4,1.8919196445305306,1.9764610411167978
44,1.9341065188248951,0.04475417954441844,4,1.890247422871365,1.9779656147784253
45,1.9357393185297647,0.044449786886003075,4,1.8921785273814817,1.9793001096780476
46,1.9353487226698132,0.04403619367432868,4,1.892193252868971,1.9785041924706552
47,1.9333054456445904,0.04460781029181365,4,1.889589791558613,1.9770210997305677
48,1.9342884255780113,0.0424013879118611,4,1.8927350654243873,1.9758417857316353
49,1.9370995428827074,0.04309200504968384,4,1.894869377934017,1.9793297078313976
50,1.9383897317780387,0.04311072407728484,4,1.8961412221822995,1.980638241373778
51,1.9404954214890797,0.043435089559811374,4,1.8979290337204646,1.9830618092576948
52,1.9373033907678392,0.041174955146882505,4,1.8969519347238943,1.977654846811784
53,1.9360947244697146,0.03916501041106753,4,1.8977130142668686,1.9744764346725607
54,1.9383528927961984,0.03751587830929141,4,1.9015873320530927,1.975118453539304
55,1.9386137227217355,0.03846164721592203,4,1.900921308450132,1.976306136993339
56,1.9375397298071118,0.03972923007108365,4,1.8986050843374498,1.9764743752767737
57,1.9351469013426041,0.041364608310901795,4,1.8946095851979203,1.975684217487288
58,1.934107114871343,0.0430700118824327,4,1.891898503226559,1.9763157265161269
59,1.935439580016666,0.04428794209304041,4,1.8920373967654864,1.9788417632678454
60,1.9342908296320174,0.04423811254862792,4,1.890937479334362,1.9776441799296727
61,1.9349720146920946,0.04504505987027439,4,1.8908278560192258,1.9791161733649634
62,1.9346104363600414,0.043385759134480034,4,1.892092392408251,1.9771284803118319
63,1.9317111406061385,0.04450179738215758,4,1.888099379171624,1.9753229020406529
64,1.9303992622428472,0.040599873319475475,4,1.8906113863897613,1.970187138095933
65,1.9333104987939198,0.04090453044833785,4,1.8932240589545488,1.9733969386332908
66,1.9358902540471818,0.04035559376395735,4,1.8963417721585036,1.97543873593586
67,1.935125963555442,0.040551846210487213,4,1.8953851542691647,1.9748667728417195
68,1.9355036914348602,0.03895700648509647,4,1.8973258250794658,1.9736815577902547
69,1.9360022577974532,0.03944718125091988,4,1.8973440201715517,1.9746604954233546
70,1.9375573992729187,0.0391532925282564,4,1.8991871725952274,1.97592762595061
71,1.939072969886992,0.039956272948908966,4,1.8999158223970611,1.9782301173769228
72,1.939199835062027,0.03959812790391628,4,1.900393669716189,1.978006000407865
73,1.939383755127589,0.043132171973580505,4,1.8971142265934802,1.9816532836616978
74,1.9370698895719318,0.03996874603918408,4,1.8979005184535314,1.9762392606903323
75,1.9367522034380171,0.04135566868590852,4,1.8962236481258268,1.9772807587502075
76,1.938303295109007,0.03941445533562124,4,1.899677128880098,1.9769294613379158
77,1.9365648527940116,0.038425392609886734,4,1.8989079680363226,1.9742217375517006
78,1.9370069205760954,0.038139260817426135,4,1.8996304449750177,1.974383396177173
79,1.9378729462623596,0.039197542050178544,4,1.8994593550531846,1.9762865374715346
80,1.9384465151362948,0.041935214008545274,4,1.8973500054079204,1.9795430248646693
81,1.9389202064938016,0.04244819046816202,4,1.8973209798350028,1.9805194331526004
82,1.93954645925098,0.04249151943849863,4,1.8979047702012513,1.9811881483007086
83,1.9406835105684068,0.04631330669578681,4,1.8952964700065358,1.9860705511302779
84,1.9392120871278973,0.045891348374821714,4,1.894238565720572,1.9841856085352225
85,1.9387701849142709,0.048585910212654466,4,1.8911559929058694,1.9863843769226723
86,1.9400497674942017,0.05142946690143966,4,1.8896488899307908,1.9904506450576125
87,1.9389476974805195,0.05132745190764186,4,1.8886467946110306,1.9892486003500085
88,1.9394624100791082,0.05192564128397653,4,1.8885752816208112,1.9903495385374053
89,1.9401389095518324,0.0510369832545635,4,1.8901226659623602,1.9901551531413046
90,1.9407229887114632,0.04804742739795425,4,1.893636509861468,1.9878094675614584
91,1.9408212469683752,0.049290176784227736,4,1.8925168737198321,1.9891256202169183
92,1.9411853684319391,0.04715819212623289,4,1.894970340148231,1.9874003967156473
93,1.9431100289026897,0.046416508942458905,4,1.89762185013908,1.9885982076662994
94,1.9446793099244435,0.04564896966008308,4,1.8999433196575621,1.9894153001913248
95,1.9433450169033475,0.04522558341279862,4,1.899023945158805,1.98766608864789
96,1.9442130194769964,0.046919850795818174,4,1.8982315656970947,1.9901944732568981
97,1.9416712787416246,0.04779802530290012,4,1.8948292139447824,1.9885133435384668
98,1.939386662509706,0.0458822039234148,4,1.8944221026647596,1.9843512223546524
99,1.9397873481114707,0.0512813779333687,4,1.8895315977367693,1.9900430984861721
100,1.9416557219293382,0.050354333299739165,4,1.8923084752955939,1.9910029685630826
