step,mean_reward,mean_sinr_db,mean_Te2E,avg_Tloc,avg_Ttx,avg_TQ,avg_Tcpu
53,1.642268,7.2988,3.522170e-01,5.333333e-04,3.503055e-01,1.333689e-03,4.444444e-05
54,1.601663,5.2509,4.764795e-02,4.000000e-04,4.621442e-02,1.000200e-03,3.333333e-05
55,1.197402,3.2916,4.641421e-02,5.333333e-04,4.383563e-02,2.000800e-03,4.444444e-05
56,2.095134,14.3600,3.371818e-01,4.000000e-04,3.360817e-01,6.667556e-04,3.333333e-05
57,1.307540,6.7037,1.174844e-01,5.333333e-04,1.159065e-01,1.000200e-03,4.444444e-05
58,1.677206,8.1274,3.346224e-01,2.666667e-04,3.333333e-01,1.000200e-03,2.222222e-05
59,1.465604,5.6086,1.615920e-01,4.000000e-04,1.598249e-01,1.333689e-03,3.333333e-05
60,2.616218,18.4566,3.797016e-01,6.666667e-04,3.776457e-01,1.333689e-03,5.555556e-05
61,0.723008,0.3513,3.524793e-01,4.000000e-04,3.513792e-01,6.667556e-04,3.333333e-05
62,2.333520,14.8836,3.369660e-01,2.666667e-04,3.360103e-01,6.667556e-04,2.222222e-05
63,2.072085,8.1094,3.394879e-01,2.666667e-04,3.385323e-01,6.667556e-04,2.222222e-05
64,1.309469,7.4784,2.171501e-01,4.000000e-04,2.153831e-01,1.333689e-03,3.333333e-05
65,2.406470,9.3549,1.243156e-01,5.333333e-04,1.224041e-01,1.333689e-03,4.444444e-05
66,1.377865,6.4798,3.817757e-01,5.333333e-04,3.798642e-01,1.333689e-03,4.444444e-05
67,1.212492,3.4232,9.026097e-02,5.333333e-04,8.868299e-02,1.000200e-03,4.444444e-05
68,2.894580,15.7031,6.124514e-03,2.666667e-04,5.168870e-03,6.667556e-04,2.222222e-05
69,2.500970,15.8032,6.909224e-02,2.666667e-04,6.813660e-02,6.667556e-04,2.222222e-05
70,2.617531,11.7232,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
71,1.896414,8.0038,1.008925e-02,1.333333e-04,9.611455e-03,3.333556e-04,1.111111e-05
72,1.687839,5.2509,1.158379e-02,1.333333e-04,1.110599e-02,3.333556e-04,1.111111e-05
73,1.290890,3.0255,4.002500e-02,4.000000e-04,3.859147e-02,1.000200e-03,3.333333e-05
74,1.385992,3.9891,7.949153e-03,1.333333e-04,7.471353e-03,3.333556e-04,1.111111e-05
75,2.691805,11.4263,1.900376e-02,5.333333e-04,1.675876e-02,1.667222e-03,4.444444e-05
